,DATE DE CLASSEMENT,TYPOLOGIE ÉTABLISSEMENT,CLASSEMENT,CATÉGORIE,MENTION (villages de vacances),NOM COMMERCIAL,ADRESSE,CODE POSTAL,COMMUNE,SITE INTERNET,TYPE DE SÉJOUR,CAPACITÉ D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,NOMBRE D'EMPLACEMENTS,NOMBRE D'UNITES D'HABITATION (résidences de tourisme),NOMBRE DE LOGEMENTS (villages de vacances),classement prorogé
17693,19/08/2019,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS DOMAINE SAINTE VÉZIANE,Route de Montblanc,34550,BESSAN,https://www.domainesainteveziane.com/,0,540,0,129,0,0,non
17694,04/10/2021,PARC RÉSIDENTIEL DE LOISIRS,1 étoile,0,0,PARC RÉSIDENTIEL DE LOISIRS FONTAINE DE BIRON,Benne,24540,0,http://www.fontainedebiron.com/,0,20,0,5,0,0,non
17695,21/07/2021,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS GÎTES DU BASTIE,LeBastie,12140,0,0,0,66,0,11,0,0,non
17696,23/09/2022,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS L'HIPPOCAMPE LES CHALETS DE LA MER,Rue de la Tramontane,13500,MARTIGUES,0,0,312,0,68,0,0,non
17697,22/02/2023,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LA FERME DU DUZOU,La Salle,12320,CONQUES,0,0,80,0,14,0,0,non
17698,30/06/2021,PARC RÉSIDENTIEL DE LOISIRS,2 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LA FONTAINE AISÉE,Chemin des Toquiniers,56130,CAMOËL,https://artyloisirs.fr/fontaineaisee/,0,180,0,60,0,0,non
17699,23/09/2022,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LA JENNY,Domaine résidentiel de la Jenny,33680,LE PORGE,https://www.lajenny.fr/,0,2268,0,756,0,0,non
17700,06/12/2022,PARC RÉSIDENTIEL DE LOISIRS,1 étoile,0,0,PARC RÉSIDENTIEL DE LOISIRS LA SAUVAGÈRE,55 chemin de Boussicaud,13280,ARLES,0,0,50,0,38,0,0,non
17701,05/08/2021,PARC RÉSIDENTIEL DE LOISIRS,5 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LE BOIS FLEURI,Route de Sorède,66700,0,0,0,1000,0,250,0,0,non
17702,14/11/2022,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LE DOMAINE DE MIRAVAL,0,81540,BELLESERRE,0,0,72,0,18,0,0,non
17703,30/06/2022,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LE DOMAINE DU CÈDRE,Aiguelèze,81600,RIVIÈRES,https://domaineducedre.fr/,0,246,0,41,0,0,non
17704,13/02/2023,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LE DOMAINE VALLÉE DU TARN,0,81340,0,https://www.vdtarn.fr/,0,132,0,30,0,0,non
17705,20/09/2021,PARC RÉSIDENTIEL DE LOISIRS,1 étoile,0,0,PARC RÉSIDENTIEL DE LOISIRS LE HAUT CLOS,9 chemin le Haut Clos,50250,LA HAYE,0,0,100,0,18,0,0,non
17706,09/11/2022,PARC RÉSIDENTIEL DE LOISIRS,4 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LES CHALETS DE FIOLLES,2634 route de Lavaur,81600,BRENS,0,0,72,0,18,0,0,non
17707,23/06/2021,PARC RÉSIDENTIEL DE LOISIRS,1 étoile,0,0,PARC RÉSIDENTIEL DE LOISIRS LES CHALETS DES CIMES,230 rue des Chardons Bleus,38410,CHAMROUSSE,0,0,200,0,57,0,0,non
17708,07/06/2022,PARC RÉSIDENTIEL DE LOISIRS,1 étoile,0,0,PARC RÉSIDENTIEL DE LOISIRS LES CHALETS DU PERCHE,Route de la Galopinière,61380,0,https://www.leschaletsduperche.fr/,0,86,0,30,0,0,non
17709,21/04/2022,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LES FÉES DU MOULIN,Moulin Haut,81310,0,https://www.lesfeesdumoulin.fr/,0,60,0,10,0,0,non
17710,21/02/2023,PARC RÉSIDENTIEL DE LOISIRS,2 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LES GRANGES,chemin des granges,77320,0,https://www.campinglesgranges77.fr/#,0,195,0,65,0,0,non
17711,07/12/2021,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,0,464 rue du Gué,41250,0,0,0,220,0,49,0,0,non
17712,19/07/2022,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LES PRAIRIES DE LA MER,1260 rue de Mazurettes,80120,FAVIÈRES,https://www.lesprairiesdelamer.com/,0,492,0,162,0,0,non
17713,12/12/2022,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LES RIVES DU LAC DU LAOUZAS,Rieumontagné,81320,NAGES,http://www.lesrivesdulac.com,0,84,0,17,0,0,non
17714,26/05/2023,PARC RÉSIDENTIEL DE LOISIRS,3 étoiles,0,0,PARC RÉSIDENTIEL DE LOISIRS LES THÉOGLINES,1 route de Vernaux,09250,GARANOU,https://www.lestheoglines.fr/,0,9,0,3,0,0,non
